uniprot,uniprotname,entrezid
P00533,EGFR,1956
P41240,CSK,1445
P42684,ABL2,27
Q06418,TYRO3,7301
P00519,ABL1,25
Q15303,ERBB4,2066
P22455,FGFR4,2264
P51813,BMX,660
P42679,MATK,4145
P17948,FLT1,2321
P34925,RYK,6259
Q9UM73,ALK,238
P07333,CSF1R,1436
P08069,IGF1R,3480
P14616,INSRR,3645
P21860,ERBB3,2065
Q13882,PTK6,5753
P43403,ZAP70,7535
P36888,FLT3,2322
Q08881,ITK,3702
Q12866,MERTK,10461
Q14289,PTK2B,2185
Q96Q04,LMTK3,114783
P16591,FER,2241
P42681,TXK,7294
Q13308,PTK7,5754
Q06187,BTK,695
P08581,MET,4233
P06213,INSR,3643
P42685,FRK,2444
Q05397,PTK2,5747
P10721,KIT,3815
P35968,KDR,3791
P04626,ERBB2,2064
P51451,BLK,640
P08922,ROS1,6098
P21802,FGFR2,2263
P22607,FGFR3,2261
P21709,EPHA1,2041
P29376,LTK,4058
P30530,AXL,558
P07948,LYN,4067
P08631,HCK,3055
P07332,FES,2242
P09769,FGR,2268
O60674,JAK2,3717
Q02763,TEK,7010
Q01973,ROR1,4919
P42680,TEC,7006
Q9H3Y6,SRMS,6725
P43405,SYK,6850
Q04912,MST1R,4486
Q16288,NTRK3,4916
P35590,TIE1,7075
Q16620,NTRK2,4915
Q08345,DDR1,780
Q13470,TNK1,8711
Q01974,ROR2,4920
P04629,NTRK1,4914
P06241,FYN,2534
Q6ZMQ8,AATK,9625
P11362,FGFR1,2260
P07949,RET,5979
P09619,PDGFRB,5159
Q8IWU2,LMTK2,22853
O15146,MUSK,4593
P12931,SRC,6714
P07947,YES1,7525
Q9UF33,EPHA6,285220
Q15375,EPHA7,2045
P29320,EPHA3,2042
P54756,EPHA5,2044
P54764,EPHA4,2043
P06239,LCK,3932
P29322,EPHA8,2046
P29317,EPHA2,1969
P52333,JAK3,3718
P29597,TYK2,7297
P54760,EPHB4,2050
P29323,EPHB2,2048
P54753,EPHB3,2049
P54762,EPHB1,2047
Q5JZY3,EPHA10,284656
P16234,PDGFRA,5156
P45983,MAPK8,5599
P53779,MAPK10,5602
P45984,MAPK9,5601
O15264,MAPK13,5603
Q00526,CDK3,1018
P30291,WEE1,7465
P24941,CDK2,1017
Q99640,PKMYT1,9088
P0C1S8,WEE2,494551
Q05655,PRKCD,5580
P06493,CDK1,983
Q13627,DYRK1A,1859
Q13535,ATR,545
Q9Y463,DYRK1B,9149
Q16832,DDR2,4921
Q6J9G0,STYK1,55359
P23458,JAK1,3716
Q07912,TNK2,10188
P16066,NPR1,4881
P08637,FCGR3A,2214
O14757,CHEK1,1111
P17612,PRKACA,5566
P49841,GSK3B,2932
P36507,MAP2K2,5605
P27361,MAPK3,5595
Q02750,MAP2K1,5604
P46734,MAP2K3,5606
P45985,MAP2K4,6416
P52564,MAP2K6,5608
O14733,MAP2K7,5609
P04049,RAF1,5894
P15056,BRAF,673
P28482,MAPK1,5594
Q13163,MAP2K5,5607
O95382,MAP3K6,9064
Q99683,MAP3K5,4217
Q13153,PAK1,5058
Q13177,PAK2,5062
Q16539,MAPK14,1432
AAA58698,NPM-ALK,NA
Q9HC98,NEK6,10783
P14618,PKM,5315
P35916,FLT4,2324
P31749,AKT1,207
Q8TF76,HASPIN,83903
Q9Y6S9,RPS6KL1,83694
P49840,GSK3A,2931
O00141,SGK1,6446
Q15759,MAPK11,5600
Q9H4B4,PLK3,1263
P53778,MAPK12,6300
Q13164,MAPK7,5598
P20794,MAK,4117
Q86Z02,HIPK1,204851
Q9UPZ9,CILK1,22858
Q00535,CDK5,1020
Q13523,PRPF4B,8899
Q8TD08,MAPK15,225689
Q00537,CDK17,5128
Q9NYV4,CDK12,51755
Q07002,CDK18,5129
Q9H422,HIPK3,10114
O76039,CDKL5,6792
Q14004,CDK13,8621
Q9H2X6,HIPK2,28996
Q00532,CDKL1,8814
Q96Q40,CDK15,65061
Q5MAI5,CDKL4,344387
P50613,CDK7,1022
Q00534,CDK6,1021
Q92772,CDKL2,8999
Q8NE63,HIPK4,147746
Q9UBE8,NLK,51701
O94921,CDK14,5218
P11802,CDK4,1019
Q15131,CDK10,8558
Q8IVW4,CDKL3,51265
Q9UQ07,MOK,5891
Q9UQ88,CDK11A,728642
Q5S007,LRRK2,120892
P50750,CDK9,1025
Q8TAS1,UHMK1,127933
P42345,MTOR,2475
Q92630,DYRK2,8445
Q99986,VRK1,7443
P78527,PRKDC,5591
Q15835,GRK1,6011
Q15831,STK11,6794
O43283,MAP3K13,9175
Q12852,MAP3K12,7786
Q6P3W7,SCYL2,55681
Q96LW2,RSKR,124923
P51617,IRAK1,3654
O43187,IRAK2,3656
Q02779,MAP3K10,4294
Q5TCX8,MAP3K21,84451
P68400,CSNK2A1,1457
Q16584,MAP3K11,4296
Q96RR4,CAMKK2,10645
P53671,LIMK2,3985
Q8NFD2,ANKK1,255239
Q8N5S9,CAMKK1,84254
Q96GD4,AURKB,9212
Q16566,CAMK4,814
Q9P1W9,PIM2,11040
Q9NRM7,LATS2,26524
P17252,PRKCA,5578
P11309,PIM1,5292
O60285,NUAK1,9891
P31751,AKT2,208
O75582,RPS6KA5,9252
Q16644,MAPKAPK3,7867
P49137,MAPKAPK2,9261
Q9Y243,AKT3,10000
Q9UK32,RPS6KA6,27330
P23443,RPS6KB1,6198
P51812,RPS6KA3,6197
Q15418,RPS6KA1,6195
Q15349,RPS6KA2,6196
Q9UBS0,RPS6KB2,6199
P11801,PSKH1,5681
O43930,PRKY,5616
P51817,PRKX,5613
Q13976,PRKG1,5592
P22694,PRKACB,5567
Q8IWQ3,BRSK2,9024
Q8TDC3,BRSK1,84446
Q9UIK4,DAPK2,23604
Q13237,PRKG2,5593
Q96BR1,SGK3,23678
O75676,RPS6KA4,8986
Q9HBY8,SGK2,10110
Q96NX5,CAMK1G,57172
Q9C098,DCLK3,85443
Q16512,PKN1,5585
Q16513,PKN2,5586
Q8N568,DCLK2,166614
P24723,PRKCH,5583
Q8IU85,CAMK1D,57118
Q13131,PRKAA1,5562
Q04759,PRKCQ,5588
Q14012,CAMK1,8536
P22612,PRKACG,5568
